"batter","name","pa","xba","xslg","woba","xwoba","xobp","xiso","exit_velocity_avg","barrel_batted_rate","flares_burners","solid","barrels","b_bb_percent","flare_burner_pa","solid_pa","barrel_pa","ipa"
518934," DJ LeMahieu",679,"0.283","0.397","0.315","0.34","0.366","0.114","90.6","3.7","145","35","19","0.108","0.21","0.05","0.03","0.120"
519048," Mitch Moreland",252,"0.226","0.395","0.3","0.297","0.286","0.17","91","9.2","33","17","16","0.071","0.13","0.07","0.06","0.125"
519203," Anthony Rizzo",576,"0.261","0.434","0.339","0.347","0.356","0.173","90.1","7.7","102","22","31","0.090","0.18","0.04","0.05","0.126"
519317," Giancarlo Stanton",579,"0.262","0.498","0.37","0.363","0.346","0.237","95.1","15.7","62","38","56","0.109","0.11","0.07","0.10","0.160"
520471," Freddy Galvis",394,"0.222","0.35","0.305","0.28","0.286","0.128","86.8","4.9","59","19","14","0.069","0.15","0.05","0.04","0.100"
521692," Salvador Perez",665,"0.276","0.566","0.359","0.374","0.321","0.29","93","16.3","109","39","74","0.042","0.16","0.06","0.11","0.165"
527038," Wilmer Flores",436,"0.238","0.4","0.337","0.312","0.314","0.161","88.6","6","76","20","20","0.094","0.17","0.05","0.05","0.121"
541645," Avisail Garcia",515,"0.278","0.515","0.346","0.367","0.347","0.237","90.4","12.2","77","24","42","0.074","0.15","0.05","0.08","0.142"
542340," Jonathan Villar",505,"0.235","0.388","0.32","0.307","0.31","0.153","88","7.4","74","18","24","0.091","0.15","0.04","0.05","0.113"
542364," Rafael Ortega",330,"0.252","0.381","0.355","0.311","0.325","0.129","88.3","5.7","59","11","13","0.091","0.18","0.03","0.04","0.113"
542583," Jesus Aguilar",510,"0.26","0.453","0.334","0.334","0.329","0.193","89.6","8.5","96","20","31","0.090","0.19","0.04","0.06","0.135"
542932," Jon Berti",271,"0.233","0.325","0.282","0.302","0.334","0.092","87.1","2.3","48","7","4","0.118","0.18","0.03","0.01","0.096"
543063," Brandon Crawford",549,"0.259","0.492","0.377","0.356","0.341","0.233","88.8","11.5","82","32","43","0.102","0.15","0.06","0.08","0.150"
543068," C.J. Cron",547,"0.261","0.481","0.383","0.364","0.36","0.22","88.8","11.5","91","17","41","0.110","0.17","0.03","0.07","0.146"
543105," Alex Dickerson",312,"0.261","0.446","0.313","0.337","0.33","0.185","87.4","10.1","54","12","21","0.074","0.17","0.04","0.07","0.133"
543228," Yan Gomes",375,"0.28","0.469","0.308","0.341","0.328","0.188","89.6","8.8","82","18","23","0.051","0.22","0.05","0.06","0.134"
543257," Robbie Grossman",671,"0.234","0.399","0.337","0.334","0.355","0.165","87.8","7.6","99","34","30","0.146","0.15","0.05","0.04","0.130"
543281," Josh Harrison",558,"0.278","0.42","0.325","0.333","0.34","0.142","87.2","4.4","121","32","19","0.056","0.22","0.06","0.03","0.113"
543333," Eric Hosmer",565,"0.268","0.407","0.319","0.327","0.337","0.139","90.5","5.8","112","25","24","0.085","0.20","0.04","0.04","0.121"
543510," James McCann",412,"0.224","0.344","0.281","0.284","0.291","0.12","87.3","6.1","56","16","16","0.078","0.14","0.04","0.04","0.100"
543543," Brad Miller",377,"0.247","0.46","0.331","0.345","0.339","0.213","92.4","12.3","50","10","26","0.119","0.13","0.03","0.07","0.134"
543760," Marcus Semien",724,"0.245","0.455","0.368","0.333","0.317","0.21","89.7","9.8","110","42","49","0.091","0.15","0.06","0.07","0.138"
543768," Travis Shaw",250,"0.215","0.388","0.289","0.301","0.3","0.173","87.7","9","35","11","14","0.096","0.14","0.04","0.06","0.122"
