last_name, first_name,player_id,year,b_total_pa,b_bb_percent,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate
Crawford, Brandon,543063,2021,549,10.2,0.259,0.492,0.377,0.356,0.341,0.233,88.8,14.7,11.5
Cron, C.J.,543068,2021,547,11,0.261,0.481,0.383,0.364,0.36,0.22,88.8,15.8,11.5
Dickerson, Alex,543105,2021,312,7.4,0.261,0.446,0.313,0.337,0.33,0.185,87.4,17,10.1
Gomes, Yan,543228,2021,375,5.1,0.28,0.469,0.308,0.341,0.328,0.188,89.6,14.1,8.8
Grossman, Robbie,543257,2021,671,14.6,0.234,0.399,0.337,0.334,0.355,0.165,87.8,21.1,7.6
Harrison, Josh,543281,2021,558,5.6,0.278,0.42,0.325,0.333,0.34,0.142,87.2,14.5,4.4
Hosmer, Eric,543333,2021,565,8.5,0.268,0.407,0.319,0.327,0.337,0.139,90.5,3.3,5.8
McCann, James,543510,2021,412,7.8,0.224,0.344,0.281,0.284,0.291,0.12,87.3,9.3,6.1
Miller, Brad,543543,2021,377,11.9,0.247,0.46,0.331,0.345,0.339,0.213,92.4,12.9,12.3
Semien, Marcus,543760,2021,724,9.1,0.245,0.455,0.368,0.333,0.317,0.21,89.7,20.3,9.8
Shaw, Travis,543768,2021,250,9.6,0.215,0.388,0.289,0.301,0.3,0.173,87.7,19.9,9
Springer III, George,543807,2021,342,10.8,0.248,0.507,0.381,0.361,0.339,0.26,89.4,19,15.4
Vazquez, Christian,543877,2021,498,6.6,0.235,0.337,0.289,0.276,0.287,0.102,86.3,13.6,2.6
Wong, Kolten,543939,2021,492,6.3,0.251,0.382,0.337,0.308,0.317,0.131,88.3,12.8,5.5
Gregorius, Didi,544369,2021,408,6.1,0.225,0.329,0.275,0.275,0.287,0.105,86.1,18.3,2.3
Garcia, Leury,544725,2021,474,8.6,0.24,0.336,0.312,0.291,0.312,0.096,86.1,4.3,3.3
Grichuk, Randal,545341,2021,545,5,0.235,0.405,0.3,0.298,0.278,0.17,89.8,16.1,8.5
Stassi, Max,545358,2021,319,8.8,0.23,0.418,0.327,0.322,0.317,0.188,89.8,11.1,11
Herrera, Odubel,546318,2021,492,5.9,0.252,0.378,0.312,0.302,0.306,0.125,88.9,7.3,4.7
Harper, Bryce,547180,2021,599,16.7,0.301,0.61,0.431,0.43,0.424,0.309,92.5,13.3,18.1
Abreu, Jose,547989,2021,659,9.3,0.252,0.457,0.354,0.349,0.347,0.205,92,10.4,10.2
Diaz, Elias,553869,2021,371,8.1,0.249,0.426,0.33,0.321,0.314,0.177,87.1,14.7,7.9
Narvaez, Omar,553882,2021,445,9.2,0.235,0.369,0.322,0.304,0.318,0.134,84.6,17.9,5.1
Suarez, Eugenio,553993,2021,574,9.8,0.215,0.455,0.306,0.326,0.302,0.24,89.1,18.3,15
Polanco, Gregory,570256,2021,382,9.4,0.232,0.411,0.275,0.316,0.31,0.179,89.9,15.9,9.6
Urshela, Gio,570482,2021,442,4.5,0.252,0.415,0.309,0.304,0.288,0.163,88.9,7.5,8
Schoop, Jonathan,570731,2021,674,5.5,0.258,0.404,0.324,0.311,0.305,0.147,88.1,10.8,6.8
Arenado, Nolan,571448,2021,653,7.7,0.248,0.42,0.336,0.311,0.308,0.172,89,20,6.7
Barnhart, Tucker,571466,2021,388,7.5,0.204,0.313,0.3,0.265,0.279,0.11,87.1,15.5,4
Farmer, Kyle,571657,2021,529,4.2,0.252,0.383,0.316,0.302,0.306,0.132,87.2,15.8,4.3
Goodwin, Brian,571718,2021,271,12.2,0.248,0.396,0.306,0.326,0.342,0.148,88.5,16.9,6.1
Haniger, Mitch,571745,2021,691,7.8,0.262,0.498,0.34,0.354,0.329,0.236,89.3,14.8,12.6
Hernandez, Enrique,571771,2021,585,10.4,0.253,0.455,0.338,0.346,0.342,0.202,90.8,17.9,8.4
Holt, Brock,571788,2021,260,8.8,0.229,0.315,0.259,0.277,0.3,0.086,86.1,9.8,1.6
Muncy, Max,571970,2021,592,14,0.272,0.583,0.379,0.408,0.388,0.311,91.2,15.2,16.1
Myers, Wil,571976,2021,500,10.8,0.218,0.37,0.33,0.295,0.301,0.152,88,10.6,7.5
Naquin, Tyler,571980,2021,454,7.7,0.264,0.459,0.345,0.34,0.328,0.196,89.8,9.6,10.4
Pollock, AJ,572041,2021,422,7.1,0.286,0.504,0.375,0.363,0.347,0.218,90.3,12,11.1
Seager, Kyle,572122,2021,670,8.8,0.222,0.454,0.308,0.32,0.295,0.232,89,19.5,12.3
Taylor, Michael A.,572191,2021,528,6.3,0.246,0.391,0.286,0.301,0.299,0.145,89.4,12.1,6.6
Walker, Christian,572233,2021,445,8.5,0.249,0.386,0.304,0.311,0.32,0.136,88.8,15.6,6.4
Zunino, Mike,572287,2021,375,9.1,0.22,0.535,0.358,0.355,0.305,0.315,90.7,23.2,24.3
Dickerson, Corey,572816,2021,365,6.8,0.25,0.377,0.317,0.3,0.307,0.127,87.8,10.1,3
Ruf, Darin,573131,2021,312,14.7,0.262,0.515,0.384,0.382,0.378,0.253,93.1,9.7,14.2
Yastrzemski, Mike,573262,2021,532,9.6,0.222,0.432,0.326,0.318,0.309,0.211,89.5,19.4,10.3
Contreras, Willson,575929,2021,483,10.8,0.24,0.448,0.337,0.347,0.344,0.209,91.8,9.6,11.1
Iglesias, Jose,578428,2021,511,4.1,0.271,0.367,0.304,0.299,0.309,0.097,85.4,11.3,3.4
Torreyes, Ronald,591720,2021,344,5.5,0.233,0.299,0.274,0.256,0.278,0.067,82.2,12.2,0.4
