last_name, first_name,player_id,year,b_total_pa,b_bb_percent,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate
Toro, Abraham,647351,2021,375,8.3,0.247,0.416,0.303,0.323,0.323,0.168,86.8,13.7,7.4
Diaz, Aledmys,649557,2021,319,5,0.267,0.411,0.311,0.319,0.324,0.144,88.7,13.6,6.5
Urias, Luis,649966,2021,570,11.1,0.241,0.427,0.34,0.333,0.338,0.186,87.9,14.2,9.3
Arraez, Luis,650333,2021,479,9,0.295,0.411,0.321,0.337,0.359,0.116,88.4,9.9,2.3
Torres, Gleyber,650402,2021,516,9.7,0.265,0.423,0.307,0.331,0.336,0.159,87.1,14.2,7.8
Castro, Willi,650489,2021,450,5.1,0.244,0.364,0.271,0.291,0.296,0.12,85.6,11.4,5.2
Diaz, Yandy,650490,2021,541,12.8,0.254,0.399,0.325,0.332,0.353,0.145,89.9,6.6,7
Bradley, Bobby,656252,2021,279,9,0.225,0.47,0.314,0.333,0.309,0.245,89,12,16.8
Chapman, Matt,656305,2021,622,12.9,0.209,0.424,0.311,0.321,0.315,0.214,89.7,18.6,13.7
Diaz, Isan,656371,2021,278,12.2,0.203,0.308,0.252,0.272,0.305,0.105,88.7,9.6,4.1
Hoskins, Rhys,656555,2021,443,10.6,0.249,0.564,0.364,0.378,0.336,0.315,91.2,21.7,17
Mullins II, Cedric,656775,2021,675,8.7,0.272,0.448,0.372,0.344,0.344,0.176,89.4,14.8,8.1
O'Hearn, Ryan,656811,2021,254,5.1,0.235,0.398,0.274,0.294,0.281,0.162,90.8,14.3,8.3
Schwarber, Kyle,656941,2021,471,13.6,0.265,0.566,0.392,0.399,0.375,0.3,92.3,15.4,17.5
Smith, Pavin,656976,2021,545,7.7,0.258,0.403,0.318,0.317,0.321,0.145,87.2,9,5.1
Thomas, Lane,657041,2021,264,14,0.234,0.382,0.328,0.322,0.342,0.148,91,12.3,7.3
Verdugo, Alex,657077,2021,604,8.4,0.285,0.446,0.334,0.342,0.348,0.161,90,7.7,7.3
DeJong, Paul,657557,2021,402,8.7,0.212,0.416,0.293,0.312,0.298,0.205,86.3,16.4,10.6
Laureano, Ramon,657656,2021,378,7.1,0.245,0.459,0.327,0.335,0.317,0.214,87.9,11.9,10.7
Fuentes, Joshua,658069,2021,284,4.2,0.204,0.281,0.261,0.23,0.238,0.077,85.2,18.3,2.4
Moncada, Yoan,660162,2021,616,13.6,0.261,0.426,0.347,0.353,0.374,0.165,90.1,11.3,8.2
Ohtani, Shohei,660271,2021,639,15,0.269,0.616,0.393,0.411,0.385,0.347,93.9,16.6,22.3
Tsutsugo, Yoshi,660294,2021,262,11.1,0.193,0.344,0.302,0.281,0.286,0.151,89.6,17.1,6.9
Acuna Jr., Ronald,660670,2021,360,13.6,0.295,0.607,0.412,0.43,0.409,0.312,93.8,18.2,20.3
Sanchez, Jesus,660821,2021,251,8,0.244,0.482,0.339,0.337,0.314,0.238,90.2,8.7,12.7
Varsho, Daulton,662139,2021,315,9.5,0.248,0.43,0.322,0.323,0.32,0.182,87.7,18,7.3
Riley, Austin,663586,2021,662,7.9,0.281,0.512,0.379,0.366,0.348,0.231,90.1,14.2,13.3
Larnach, Trevor,663616,2021,301,10.3,0.209,0.372,0.3,0.304,0.31,0.163,90,13.1,9.5
Mountcastle, Ryan,663624,2021,586,7,0.245,0.458,0.335,0.326,0.303,0.213,89.1,16.3,11.8
Hayes, Ke'Bryan,663647,2021,396,7.8,0.249,0.369,0.301,0.299,0.308,0.12,90.2,2.6,5.1
Tucker, Kyle,663656,2021,567,9.3,0.307,0.58,0.383,0.4,0.372,0.273,91.4,17.6,11.6
India, Jonathan,663697,2021,631,11.3,0.259,0.443,0.363,0.356,0.369,0.184,87.6,13,9.6
Grisham, Trent,663757,2021,527,10.2,0.241,0.368,0.32,0.309,0.328,0.127,88.8,12.3,5.2
Stephenson, Tyler,663886,2021,402,10.2,0.257,0.391,0.346,0.324,0.343,0.134,88.4,7.4,5.4
Rodgers, Brendan,663898,2021,415,4.6,0.253,0.414,0.341,0.311,0.3,0.161,88.8,6.3,6.2
Lowe, Nathaniel,663993,2021,642,12.5,0.236,0.402,0.337,0.324,0.333,0.166,90.8,5,9.5
Happ, Ian,664023,2021,535,11.6,0.22,0.397,0.328,0.317,0.32,0.177,89.5,9.9,10.9
France, Ty,664034,2021,650,7.1,0.27,0.436,0.353,0.347,0.353,0.166,88.5,11,6.8
Lowe, Brandon,664040,2021,615,11.1,0.25,0.5,0.363,0.36,0.343,0.25,89.3,16.9,14
Bader, Harrison,664056,2021,401,6.7,0.232,0.394,0.331,0.295,0.292,0.162,86.2,13.3,7
Fletcher, David,664058,2021,665,4.7,0.273,0.321,0.273,0.281,0.308,0.048,82.3,8.4,0
Moore, Dylan,664238,2021,377,10.6,0.204,0.348,0.271,0.288,0.296,0.144,86.5,20.4,8.6
Straw, Myles,664702,2021,638,10.5,0.262,0.339,0.311,0.308,0.341,0.077,87.1,11.9,1.3
Bohm, Alec,664761,2021,417,7.4,0.266,0.398,0.285,0.317,0.323,0.132,92,5.6,6.6
Wade Jr., LaMonte,664774,2021,381,8.7,0.256,0.475,0.343,0.347,0.331,0.219,90.1,19.8,10.6
Brown, Seth,664913,2021,307,7.5,0.225,0.462,0.315,0.318,0.286,0.237,88.9,20.9,13.9
Walsh, Jared,665120,2021,585,8.2,0.257,0.436,0.357,0.327,0.323,0.179,89.6,7.8,11.3
Tatis Jr., Fernando,665487,2021,546,11.4,0.279,0.618,0.403,0.408,0.363,0.338,93.9,13.8,21.3
Guerrero Jr., Vladimir,665489,2021,698,12.3,0.307,0.594,0.419,0.418,0.399,0.287,95.1,9.4,15.1
Soto, Juan,665742,2021,654,22.2,0.305,0.545,0.42,0.429,0.463,0.241,93,5.8,13.3
Chisholm Jr., Jazz,665862,2021,507,6.7,0.238,0.409,0.312,0.307,0.295,0.171,90.2,9,9
Lux, Gavin,666158,2021,381,10.8,0.26,0.387,0.303,0.323,0.345,0.126,89.8,11.3,3.9
Bichette, Bo,666182,2021,690,5.8,0.291,0.49,0.354,0.355,0.337,0.198,91.4,7.3,9.9
Carlson, Dylan,666185,2021,619,9.2,0.247,0.407,0.336,0.322,0.328,0.159,88.2,15.1,7
Dalbec, Bobby,666915,2021,453,6.2,0.236,0.522,0.334,0.344,0.294,0.287,92.4,17.3,20.2
Garcia, Adolis,666969,2021,622,5.1,0.223,0.426,0.314,0.302,0.271,0.203,91,14.7,11.5
Gurriel Jr., Lourdes,666971,2021,541,5.9,0.272,0.462,0.333,0.339,0.319,0.19,89.7,10.5,9.6
Arozarena, Randy,668227,2021,604,9.3,0.222,0.369,0.35,0.304,0.313,0.147,89.9,7.6,8.2
Baddoo, Akil,668731,2021,461,9.8,0.227,0.403,0.329,0.309,0.303,0.176,86,13.8,8.8
Reynolds, Bryan,668804,2021,646,11.6,0.294,0.524,0.385,0.386,0.384,0.23,89.4,13.4,10.4
Rojas, Josh,668942,2021,550,10.5,0.237,0.357,0.327,0.299,0.318,0.12,88.2,8.4,4.8
Marsh, Brandon,669016,2021,260,7.7,0.266,0.415,0.296,0.325,0.327,0.15,92.1,7.9,10.9
Murphy, Sean,669221,2021,448,8.9,0.24,0.441,0.309,0.337,0.329,0.201,89.2,15.4,11.3
Edman, Tommy,669242,2021,691,5.5,0.274,0.401,0.301,0.316,0.32,0.127,87.5,9.5,4.2
Solak, Nick,669256,2021,511,6.7,0.238,0.361,0.299,0.299,0.31,0.124,86.9,7,6.5
Smith, Will,669257,2021,501,11.6,0.25,0.472,0.364,0.364,0.365,0.221,90.1,19.4,10.8
Hays, Austin,669720,2021,529,5.3,0.245,0.432,0.328,0.316,0.298,0.187,88.8,12.5,9.1
Lopez, Nicky,670032,2021,565,8.7,0.239,0.305,0.329,0.283,0.313,0.065,86.8,2.8,0.7
Alvarez, Yordan,670541,2021,598,8.4,0.28,0.571,0.37,0.39,0.351,0.291,93.2,14.1,15.9
Kelenic, Jarred,672284,2021,377,9.5,0.219,0.409,0.27,0.311,0.301,0.19,87.5,14.4,9.9
Robert, Luis,673357,2021,296,4.7,0.302,0.546,0.399,0.382,0.35,0.244,91.2,13.8,12.5
Kim, Ha-Seong,673490,2021,298,7.4,0.209,0.309,0.27,0.265,0.279,0.1,86.7,13.6,4.5
McCormick, Chas,676801,2021,320,7.8,0.223,0.423,0.326,0.31,0.293,0.2,90.3,18.6,10.2
Franco, Wander,677551,2021,308,7.8,0.281,0.414,0.348,0.334,0.342,0.132,88.2,9.7,4.9
Jeffers, Ryan,680777,2021,293,7.5,0.207,0.415,0.289,0.299,0.277,0.209,89.2,14,14.5
Vaughn, Andrew,683734,2021,469,8.7,0.243,0.434,0.306,0.332,0.321,0.192,91.1,9.7,10.9
